Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
minfen,,,future minute,,,,,,,,Orostara,min fen,,
minrin,basic,,command/order,command/order,,,,,,,Shanghainese,命令,min lin,
minxan,,,past minute,,,,,,,,Orostara,min xan,,
minxon,basic,,public,publicize,public,publicly,,,,,Mandarin Chinese,民众,Mínzhòng,
mip,basic,,furniture,,,,,,,,Russian,мебель,mebel,
mipor,,,flour,,,,,food,,,Orostara,miy por,grain powder,
mir,slang,Affectionate honorific suffix that means 'someone I take care of',beloved/baby/little sister/little brother,,,,,,,,Orostara,,,
miran,basic,,meeting/interview,meet,,,,,,,Hindi,मिलना,milana,
miryon,basic,,million,,1000000,,,number,,25,German,million,,
Misramur,proper,'mur' added for clarity,Egypt/Arab Republic of Egypt,,,,,country,,,Arabic,مصر,Misr,
mit,basic,,debt,have/borrow/rent/loan/owe,,,of/from,,,,German,mieten,,
mixran,basic,,mixture/solution,mix,mixed,,,,,,Bangla,মিশ্রণ,Miśraṇa,
miy,basic,,grain,,,,,food,,,Mandarin Chinese,米,Mǐ,
Miyanmarmur,proper,'mur' added for clarity,Myanmar/Republic of the Union of Myanmar,,,,,country,,,Burmese,မြန်မာ,myanmar,
mm,,,,,,,Mmhm,,,,Orostara,Am,Yes,
mofen,,pair with 'sek',future second,,,,,,,,Orostara,mom fen,,
mok,basic,,neck/throat,swallow,,,,body,,19,Korean,목,mog,
mokrur,,,esophogus ,,,,,body,,20,Orostara,mok rur,throat tube,
mon,basic,,month,,,,,,,,German,Monat,,
monfen,,pair with 'sek',future month,,,,,,,,Orostara,mon fen,,
monjan,,pair with 'sek',past month,,,,,,,,Orostara,mon jan,,
mor,basic,,purple,,purple,,,color,,6,Spanish,morado,,
Mosampikmur,proper,'mur' added for clarity,Mozambique/Republic of Mozambique,,,,,country,,,Portuguese,Moçambique,,
mot,basic,,death,die/kill,dead,,,,,,Hindi,मौत,maut,
motnit,,,poison/venom,,poisonous,,,,,,Orostara,mot nit,,
motsinar,,,omen,,,,,,,,Orostara,mot sinar,death sign,
mox,basic,,model,pose,,,,,,,Mandarin Chinese,模型,Móxíng,
moxar,basic,,spice/seasoning,,seasoned,,,food,,6,Bangla,মশলা,Maśalā,
muk,basic,,object/item/thing,,,,,,,,Vietnamese,mục,,
Mun-Taymur,proper,'mur' added for clarity,Thailand,,,,,country,,,Thai,เมืองไทย,Meụ̄xng thịy,
